label	score	name
0.0	0.9976872205734253	O75390
0.0	0.32886120676994324	P53621
0.0	0.9951125979423523	P27361
0.0	0.9933173656463623	Q9Y265
1.0	0.6421653032302856	P54646
0.0	0.3508729636669159	P48444
0.0	0.39074239134788513	Q07021
0.0	0.9963878393173218	P04632
0.0	0.9967009425163269	Q16543
0.0	0.9724647402763367	P41240
0.0	0.3870106339454651	P07858
0.0	0.9875823259353638	P07711
0.0	0.2480376660823822	P18146
0.0	0.3898572325706482	P50402
1.0	0.1990249752998352	O75460
0.0	0.9589397311210632	Q8NCA5
0.0	0.9318479299545288	Q13451
0.0	0.7044588327407837	Q16658
0.0	0.8641119599342346	P60520
0.0	0.9654674530029297	Q08379
0.0	0.2526686191558838	P04439
0.0	0.6659485101699829	P11142
0.0	0.5242781639099121	P38646
0.0	0.3644832372665405	P61604
0.0	0.367831289768219	P78318
0.0	0.9997276663780212	P33176
1.0	0.991828203201294	P11279
1.0	0.981020450592041	P13473
0.0	0.9628631472587585	Q6IAA8
0.0	0.9849011301994324	P28482
0.0	0.2659883499145508	Q99497
0.0	0.994954526424408	O15530
0.0	0.605901300907135	P50542
0.0	0.6877824664115906	Q99623
0.0	0.9868764877319336	Q9Y478
0.0	0.9940226674079895	P55036
0.0	0.6316823363304138	P61224
0.0	0.20134079456329346	O00767
0.0	0.20365670323371887	O75396
0.0	0.9999558925628662	P50454
0.0	0.38472652435302734	Q00325
0.0	0.9387197494506836	Q9H4L7
0.0	0.21179181337356567	P00441
0.0	0.37149208784103394	Q9UNE7
0.0	0.3382244110107422	Q86Y82
0.0	0.9999775886535645	Q01995
0.0	0.9850918650627136	Q9H0E2
0.0	0.6189233064651489	P22314
0.0	0.9990932941436768	P0CG48
0.0	0.9865368604660034	Q9UHD9
1.0	0.8328660726547241	O75385
0.0	0.9975937008857727	Q93008
0.0	0.32025372982025146	P51809
0.0	0.9980801343917847	P18206
0.0	0.265051931142807	Q9UEU0
1.0	0.20719927549362183	P17861
0.0	0.9954740405082703	Q04917
0.0	0.2023979276418686	P27348
